image number,alt,article_heading
image_1_1.jpg,Alabama city council cancels meeting after questions about Haitian migrants,Alabama resident reacts to 'totalitarian' council president disbanding meeting over migrant questions
image_1_2.jpg,Darryl Phillips AlabamaF,Alabama resident reacts to 'totalitarian' council president disbanding meeting over migrant questions
image_1_3.jpg,Tiffany Nix,Alabama resident reacts to 'totalitarian' council president disbanding meeting over migrant questions
image_1_4.jpg,Alabama Tiffany Nix Haitian migrants,Alabama resident reacts to 'totalitarian' council president disbanding meeting over migrant questions
image_2_1.jpg,Suspected cartel gunmen cross illegally into United States,Texas Gov Abbott defies Biden administration amid border battle over island used by cartels
image_2_2.jpg,Fronton Island from above,Texas Gov Abbott defies Biden administration amid border battle over island used by cartels
image_2_3.jpg,Abbott-Border-inset,Texas Gov Abbott defies Biden administration amid border battle over island used by cartels
image_2_4.jpg,Map of Fronton Island,Texas Gov Abbott defies Biden administration amid border battle over island used by cartels
image_2_5.jpg,Jocelyn Nungaray's mother reveals timeline of daughter's murder in hearing on open border crime,Texas Gov Abbott defies Biden administration amid border battle over island used by cartels
image_3_1.jpg,Texas hotel served papers over 'habitual criminal activity' Venezuelan gang presence,Venezuelan gang Tren de Aragua take over Texas hotel county officials work to shut down business
image_3_2.jpg,Suspected members of the Tren de Aragua gang drink and party with children present,Venezuelan gang Tren de Aragua take over Texas hotel county officials work to shut down business
image_3_3.jpg,Suspected members of the Tren de Aragua gang caught on surveillance footage at the Gateway Hotel in El Paso,Venezuelan gang Tren de Aragua take over Texas hotel county officials work to shut down business
image_3_4.jpg,Suspected members of the Tren de Aragua gang caught on surveillance footage at the Gateway Hotel in El Paso,Venezuelan gang Tren de Aragua take over Texas hotel county officials work to shut down business
image_4_1.jpg,Kamala Harris continues to advocate for ‘decriminalizing’ illegal immigration: Virginia Gov. Glenn Youngkin,Harris camp's new policy page criticized for lacking specifics on border security: 'There's no there there'
image_4_2.jpg,Border wall open,Harris camp's new policy page criticized for lacking specifics on border security: 'There's no there there'
image_4_3.jpg,Migrants border caravan,Harris camp's new policy page criticized for lacking specifics on border security: 'There's no there there'
image_4_4.jpg,The Harris campaign website added an "Issues" page to its website that includes a policy platform from the Harris-Walz campaign. The addition comes 50 days after Joe Biden stepped aside in the race for president.,Harris camp's new policy page criticized for lacking specifics on border security: 'There's no there there'
image_5_1.jpg,CNN host surprised by Harris’ 2019 policy positions like decriminalizing all drugs & funding migrant sex changes,CNN host surprised by Harris’ 2019 policy positions like decriminalizing drugs funding migrant sex changes
image_5_2.jpg,CNNs Erin Burnett on air,CNN host surprised by Harris’ 2019 policy positions like decriminalizing drugs funding migrant sex changes
image_5_3.jpg,Kamala Harris,CNN host surprised by Harris’ 2019 policy positions like decriminalizing drugs funding migrant sex changes
image_6_1.jpg,Families of victims of illegal immigrant crime call out Biden-Harris border policies,Daughter of Mexican immigrants tells Congress she’s ‘ashamed’ of Biden-Harris admin ‘opening our borders’
image_6_2.jpg,April Aguirre,Daughter of Mexican immigrants tells Congress she’s ‘ashamed’ of Biden-Harris admin ‘opening our borders’
image_6_3.jpg,Maria Gonzalez,Daughter of Mexican immigrants tells Congress she’s ‘ashamed’ of Biden-Harris admin ‘opening our borders’
image_6_4.jpg,Patty Morin makes shocking revelation during House testimony,Daughter of Mexican immigrants tells Congress she’s ‘ashamed’ of Biden-Harris admin ‘opening our borders’
image_7_1.jpg,Jocelyn Nungaray's mother reveals horrific timeline of daughter's murder in hearing on open-border crime,Biden-Harris border crisis: Mother of Jocelyn Nungaray gives emotional testimony during migrant crime hearing
image_7_2.jpg,images of Jocelyn Nungaray,Biden-Harris border crisis: Mother of Jocelyn Nungaray gives emotional testimony during migrant crime hearing
image_7_3.jpg,Jocelyn Nungaray murder suspects,Biden-Harris border crisis: Mother of Jocelyn Nungaray gives emotional testimony during migrant crime hearing
image_7_4.jpg,Former President Trump met with Alexis Nungaray mother of Jocelyn Nunagaray the 12-year-old girl who was killed by who authorities say are undocumented migrants at the U.S.-Mexico border fence on Aug. 22 south of Sierra Vista Arizona.,Biden-Harris border crisis: Mother of Jocelyn Nungaray gives emotional testimony during migrant crime hearing
image_7_5.jpg,Families of victims of illegal immigrant crime call out Biden-Harris border policies,Biden-Harris border crisis: Mother of Jocelyn Nungaray gives emotional testimony during migrant crime hearing
image_8_1.jpg,Residents of Springfield Ohio attend city council meeting to share frustration about migrant crisis hitting their community,Ohio residents in small town erupt over havoc caused by massive influx of 20000 of Haitians
image_8_2.jpg,SPRINGFIELD OHIO RESIDENTS,Ohio residents in small town erupt over havoc caused by massive influx of 20000 of Haitians
image_8_3.jpg,Haitian migrants springfield,Ohio residents in small town erupt over havoc caused by massive influx of 20000 of Haitians
image_8_4.jpg,Haitian migrants springfield,Ohio residents in small town erupt over havoc caused by massive influx of 20000 of Haitians
image_9_1.jpg,Trump: Illegal migrants are 'destroying our county',Trump outperforming 2020 support among Hispanics who prefer him on immigration poll shows
image_9_2.jpg,Trump and Harris split,Trump outperforming 2020 support among Hispanics who prefer him on immigration poll shows
image_9_3.jpg,Trump campaigns in Wisconsin,Trump outperforming 2020 support among Hispanics who prefer him on immigration poll shows
image_9_4.jpg,Kamala Harris,Trump outperforming 2020 support among Hispanics who prefer him on immigration poll shows
