image number,alt,article_heading
image_1_1.jpg,new york surgeons ,Groundbreaking: Surgeons In New York Successfully Perform First-Ever Whole-Eye Transplant
image_2_1.jpg,Pexels,Women Break The Taboo! Here's How To Close The Pleasure Gap And Take Control Like A Boss
image_3_1.jpg,Tedros Adhanom Ghebreyesus,WHO Says Coronavirus Situation “Worsening” Worldwide
image_4_1.jpg,Indiatimes,Good News! Russia To Launch Its First Covid-19 Drug Next Week
image_5_1.jpg,Indiatimes,World Milk Day 2020 : Importance Theme And How It Is Celebrated 
image_6_1.jpg,Indiatimes,World No Tobacco Day 2020 - Theme And Significance
image_7_1.jpg,Heatwave,Heatwave In India: Sign Of Heatstroke & How To Prevent It
image_8_1.jpg,Coronavirus, New Study Claims That Coronavirus Could Cause Thyroid Disease In Patients
image_9_1.jpg,Indiatimes,World’s AIDS Vaccine Day 2020: Here’s Everything You Need To Know
image_10_1.jpg,Why Essential Medicines Are Set To Get Costlier For You From April 1, India’s Jubilant Signs Licensing Deal For US Pharma Gilead’s COVID-19 Drug
