image number,alt,article_heading
image_1_1.jpg,Indiatimes,5 plants in Maharaj star Shalini Pandey's garden that you can add to your home
image_2_1.jpg,squirrel,Gardening tips: 10 tips to keep squirrels out of your garden
image_3_1.jpg,rose,Gardening tips: A beginners guide to take care of roses
image_4_1.jpg,Neelkanth Bird: A Spiritual Spectacle on Dussehra 2023,7 simple secrets to attract birds to your home garden
image_5_1.jpg,garden,3 ways to create a personal garden in a metro city with limited space
image_6_1.jpg,Begonia,Tired of monsoon stickiness? Here are 7 indoor plants to keep excess humidity away 
image_7_1.jpg,Indiatimes,Gardening tips: 7 hacks to monsoon-proof your garden
image_8_1.jpg,Indiatimes,7 easy-to-grow fruits and veggies to enjoy fresh produce right at your doorstep
image_9_1.jpg,Indiatimes,Transform your office desk into a mini oasis with these 6 low-maintenance plants
image_10_1.jpg,monstera,5 surprising facts about Monstera plant you didn't know
