image number,alt,article_heading
image_1_1.jpg,Simone Biles right stands on the sideline before the game between the Chicago Bears and the Cincinnati Bengals at Soldier Field.,Simon Biles has ‘plenty’ of Bears gear following Packers jacket debacle: ‘Don’t you worry’
image_1_2.jpg,United States gymnast Simone Biles right enters the field before the game between the Chicago Bears and the Cincinnati Bengals at Soldier Field.,Simon Biles has ‘plenty’ of Bears gear following Packers jacket debacle: ‘Don’t you worry’
image_1_3.jpg,Simone Biles posts pictures from husband Jonathan Owens preseason football game.,Simon Biles has ‘plenty’ of Bears gear following Packers jacket debacle: ‘Don’t you worry’
image_1_4.jpg,Jonathan Owens posts from the Olympics wearing Simone Biles' gold medal on July 31 2024.,Simon Biles has ‘plenty’ of Bears gear following Packers jacket debacle: ‘Don’t you worry’
image_1_5.jpg,United States gymnast Simone Biles right enters the field before the game between the Chicago Bears and the Cincinnati Bengals at Soldier Field.,Simon Biles has ‘plenty’ of Bears gear following Packers jacket debacle: ‘Don’t you worry’
image_2_1.jpg,Uganda's Rebecca Cheptegei pictured during a marathon in Hungary in 2023 died Thursday after she was burned to death by her boyfriend in Kenya in an alleged dispute over land.,Ugandan Olympian Rebecca Cheptegei’s father calls for justice after boyfriend burned her to death
image_3_1.jpg,Dina Asher-Smith of Great Britain Sha'Carri Richardson of the United States Julien Alfred of Saint Lucia and Mujinga Kambundji of Switzerland from left compete in the women's 100-meter during the World Athletics Diamond League Weltklasse Zurich track and field meet.,Sha’Carri Richardson beats Julien Alfred in Olympics rematch
image_3_2.jpg,From left Julien Alfred of Saint Lucia Mujinga Kambundji of Switzerland and Daryll Neita of Great Britain compete in a 100m women's sprint during the World Athletics Diamond League Weltklasse Zurich athletics meeting at the Letzigrund stadium in Zurich Switzerland Thursday Sept. 5 2024.,Sha’Carri Richardson beats Julien Alfred in Olympics rematch
image_3_3.jpg,United States' Sha'Carri Richardson celebrates after winning the women's 100-meter in Zurich.,Sha’Carri Richardson beats Julien Alfred in Olympics rematch
image_4_1.jpg,Cheptegei competed in the women’s marathon at the Paris Olympics less than a month before the attack. She finished in 44th place.,Ugandan Olympic athlete Rebecca Cheptegei 33 dies after being set on fire by her boyfriend over a land dispute
image_4_2.jpg,Ugandan Olympic athlete Rebecca Cheptegei has died at a Kenyan hospital where she was being treated after 80% of her body was burned in an attack by her partner. She was 33.,Ugandan Olympic athlete Rebecca Cheptegei 33 dies after being set on fire by her boyfriend over a land dispute
image_4_3.jpg,Cheptegei’s parents said their daughter bought land in Trans Nzoia to be near the county’s many athletic training centers.,Ugandan Olympic athlete Rebecca Cheptegei 33 dies after being set on fire by her boyfriend over a land dispute
image_5_1.jpg,Ravens cornerback Marlon Humphrey rides a young fan's bicycle to a joint practice with the Packers in Green Bay on Aug. 22 2024.,Marlon Humphrey doubles down on ‘disgusting’ Simone Biles-Jordan Chiles comment
image_5_2.jpg,"Marlon Humphrey discussing his critical tweet on the ""Punch Line"" podcast.",Marlon Humphrey doubles down on ‘disgusting’ Simone Biles-Jordan Chiles comment
image_5_3.jpg,American gymnasts Simone Biles (l.) and Jordan Chiles (r.) bow to Brazilian gold medalist Rebeca Andrade (c.) at the Olympics on Aug. 5 2024.,Marlon Humphrey doubles down on ‘disgusting’ Simone Biles-Jordan Chiles comment
image_5_4.jpg,"Marlon Humphrey (l.) talks to cohost Jack Settleman (r.) on the ""Punch Line"" podcast.",Marlon Humphrey doubles down on ‘disgusting’ Simone Biles-Jordan Chiles comment
image_6_1.jpg,Australian Olympian Rachael “Raygun” Gunn said she hasn't yet watched back her viral performance from Paris last month.,Australian breakdancer Raygun’s startling confession in first sit-down interview since Olympics disaster
image_6_2.jpg,The 36-year-old's controversial routine -- complete with kangaroo moves -- quickly went viral.,Australian breakdancer Raygun’s startling confession in first sit-down interview since Olympics disaster
image_6_3.jpg,"Comedian Rachel Dratch playing Raygun on Jimmy Fallon's ""The Tonight Show""",Australian breakdancer Raygun’s startling confession in first sit-down interview since Olympics disaster
image_7_1.jpg,U.S. Olympic hurdler Rai Benjamin attending New York Giants football during practice,Giants get intimate look at Rai Benjamin’s Olympic medals in practice visit
image_7_2.jpg,Rai Benjamin of Team United States celebrates winning the Gold medal in the Men's 4 x 400m Relay Final,Giants get intimate look at Rai Benjamin’s Olympic medals in practice visit
image_7_3.jpg,Giants wide receiver Malik Nabers (1) during practice,Giants get intimate look at Rai Benjamin’s Olympic medals in practice visit
image_7_4.jpg,Olympic track star and life-long Giants fan Rai Benjamin visits the the team's practice field.,Giants get intimate look at Rai Benjamin’s Olympic medals in practice visit
image_8_1.jpg,B-Girl Raygun of Australia performing at the Paris 2024 Olympics dancing on stage in a green outfit with an audience in the background,Viral breakdancer Raygun finally set to face the music in first sit-down interview after Olympics distaster
image_8_2.jpg,B-Girl Raygun of Team Australia in green and yellow uniform crossing her arms ready to compete in the B-Girls Round Robin at Olympic Games Paris 2024,Viral breakdancer Raygun finally set to face the music in first sit-down interview after Olympics distaster
image_8_3.jpg,Australian Olympic breaking athlete Rachael 'Raygun' Gunn posing during a portrait session in Sydney,Viral breakdancer Raygun finally set to face the music in first sit-down interview after Olympics distaster
image_9_1.jpg,Cheptegei (C) applies an ice bag on her head as she competes in the women's marathon of the athletics event at the Paris 2024 Olympic Games  in Paris on August 11 2024.,Olympic runner Rebecca Cheptegei gets set on fire by her boyfriend
image_9_2.jpg,Cheptegei (C) cross the Szechenyi Chain Bridge in the Women's Marathon during day eight of the World Athletics Championships Budapest 2023 on Aug. 26 2023 in Budapest Hungary.,Olympic runner Rebecca Cheptegei gets set on fire by her boyfriend
image_9_3.jpg,Rebecca Cheptegei competes at the Discovery 10km road race in Kapchorwa Uganda Friday Jan. 20 2023.,Olympic runner Rebecca Cheptegei gets set on fire by her boyfriend
image_10_1.jpg,Qinwen Zheng of China in action during her Women's Singles Third Round match against Emma Navarro of United States at the Paris 2024 Olympics,Emma Navarro opens up about heated Olympics dis of Qinwen Zheng before possible US Open clash
image_10_2.jpg,Emma Navarro celebrating her victory over Paula Badosa at the U.S. Open Tennis Championships 2024,Emma Navarro opens up about heated Olympics dis of Qinwen Zheng before possible US Open clash
image_10_3.jpg,Emma Navarro returning a volley against Paula Badoas at the US Open 2024 in Arthur Ashe Stadium,Emma Navarro opens up about heated Olympics dis of Qinwen Zheng before possible US Open clash
