image number,alt,article_heading
image_1_1.jpg,Kendrick Lamar,Kendrick Lamar Announced as Performer for 2025 Super Bowl Halftime Show
image_1_2.jpg,Kendrick Lamar,Kendrick Lamar Announced as Performer for 2025 Super Bowl Halftime Show
image_2_1.jpg,Megan Thee Stallion performs during the 2024 Boston Calling Music Festival at Harvard Athletic Complex on May 26 2024,Megan Thee Stallion Says She Felt the Fan Love on Her Hot Girl Summer Tour: 'We're Like a Bunch of Cousins' (Exclusive)
image_2_2.jpg,Megan Thee Stallion performs onstage during the Hot Girl Summer Tour at Madison Square Garden,Megan Thee Stallion Says She Felt the Fan Love on Her Hot Girl Summer Tour: 'We're Like a Bunch of Cousins' (Exclusive)
image_2_3.jpg,Megan Thee Stallion attends a basketball game between the Los Angeles Lakers and the Minnesota Timberwolves at Crypto.com Arena on April 07 2024,Megan Thee Stallion Says She Felt the Fan Love on Her Hot Girl Summer Tour: 'We're Like a Bunch of Cousins' (Exclusive)
image_3_1.jpg,MELBOURNE AUSTRALIA - FEBRUARY 16: Taylor Swift fans also known as "Swifties" hold up tickets purchased for the show at Melbourne Cricket Ground on February 16 2024 in Melbourne Australia. Taylor Swift's global Eras Tour has been a cultural and economic phenomenon breaking records and generating billions of dollars in revenue. With its massive scale and fan frenzy the tour has cemented Swift's status as one of the most influential pop stars of the 21st century and its impact is likely to be felt for years to come.,Pregnant Woman Sells Her Tickets to Taylor Swift’s Eras Tour for $4000 — and Now Her Sister-in-Law Won’t Talk to Her
image_3_2.jpg,SYDNEY AUSTRALIA - FEBRUARY 23: A young fan displays her ticket for Taylor Swift's first Sydney concert outside Accor Stadium on February 23 2024 in Sydney Australia. Taylor Swift's global Eras Tour has been a cultural and economic phenomenon breaking records and generating billions of dollars in revenue. With its massive scale and fan frenzy the tour has cemented Swift's status as one of the most influential pop stars of the 21st century and its impact is likely to be felt for years to come. ,Pregnant Woman Sells Her Tickets to Taylor Swift’s Eras Tour for $4000 — and Now Her Sister-in-Law Won’t Talk to Her
image_3_3.jpg,MELBOURNE AUSTRALIA - FEBRUARY 16: Taylor Swift fans also known as "Swifties" take a photo of their tickets purchased for the show at Melbourne Cricket Ground on February 16 2024 in Melbourne Australia. Taylor Swift's global Eras Tour has been a cultural and economic phenomenon breaking records and generating billions of dollars in revenue. With its massive scale and fan frenzy the tour has cemented Swift's status as one of the most influential pop stars of the 21st century and its impact is likely to be felt for years to come.,Pregnant Woman Sells Her Tickets to Taylor Swift’s Eras Tour for $4000 — and Now Her Sister-in-Law Won’t Talk to Her
image_4_1.jpg,Ben Affleck and jlo,Ben Affleck Spends Time with His Kids in L.A. as Jennifer Lopez Attends the Premiere of Their New Movie in Toronto
image_4_2.jpg,Bobby Cannavale Jharrel Jerome Jennifer Lopez Don Cheadle and Matt Damon,Ben Affleck Spends Time with His Kids in L.A. as Jennifer Lopez Attends the Premiere of Their New Movie in Toronto
