website,category,article_number,image number,alt,article_heading,article_url
https://apnews.com/,apnnews_in_article,1,1,"This image provided by WBMA shows police and emergency vehicles in the entertainment district after a shooting in Birmingham, Ala., Sunday, Sept. 22, 2024. (Bill Castle/WBMA via AP)","Mass shooting kills 4 and wounds 17 in nightlife district in Birmingham, Alabama",https://apnews.com/article/birmingham-alabama-fatal-shooting-5293c5068e6fec5779d19dd100fc37f5
https://apnews.com/,apnnews_in_article,1,2,"This image provided by WBMA shows police tape near the scene of a shooting in Birmingham, Ala., Sunday, Sept. 22, 2024. (Bill Castle/WBMA via AP)","Mass shooting kills 4 and wounds 17 in nightlife district in Birmingham, Alabama",https://apnews.com/article/birmingham-alabama-fatal-shooting-5293c5068e6fec5779d19dd100fc37f5
https://apnews.com/,apnnews_in_article,1,3,"Drops of blood remain at the scene of a fatal Saturday night shooting in the Five Points neighborhood of Birmingham, Ala., Sunday, Sept. 22, 2024. (AP Photo/Vasha Hunt)","Mass shooting kills 4 and wounds 17 in nightlife district in Birmingham, Alabama",https://apnews.com/article/birmingham-alabama-fatal-shooting-5293c5068e6fec5779d19dd100fc37f5
https://apnews.com/,apnnews_in_article,1,4,"This image provided by WBMA shows police working on the scene of a shooting in Birmingham, Ala., Sunday, Sept. 22, 2024. (Bill Castle/WBMA via AP)","Mass shooting kills 4 and wounds 17 in nightlife district in Birmingham, Alabama",https://apnews.com/article/birmingham-alabama-fatal-shooting-5293c5068e6fec5779d19dd100fc37f5
https://apnews.com/,apnnews_in_article,1,5,"The scene of a fatal Saturday night shooting near Hush, a hookah lounge, in the Five Points neighborhood of Birmingham, Ala., Sunday, Sept. 22, 2024. (AP Photo/Vasha Hunt)","Mass shooting kills 4 and wounds 17 in nightlife district in Birmingham, Alabama",https://apnews.com/article/birmingham-alabama-fatal-shooting-5293c5068e6fec5779d19dd100fc37f5
https://apnews.com/,apnnews_in_article,1,6,"The scene of a fatal Saturday night shooting outside Hush, a hookah lounge, in the Five Points neighborhood of Birmingham, Ala., Sunday, Sept. 22, 2024. (AP Photo/Vasha Hunt)","Mass shooting kills 4 and wounds 17 in nightlife district in Birmingham, Alabama",https://apnews.com/article/birmingham-alabama-fatal-shooting-5293c5068e6fec5779d19dd100fc37f5
https://apnews.com/,apnnews_in_article,1,7,"This image provided by WBMA shows bystanders near the scene of a shooting in Birmingham, Ala., Sunday, Sept. 22, 2024. (Bill Castle/WBMA via AP)","Mass shooting kills 4 and wounds 17 in nightlife district in Birmingham, Alabama",https://apnews.com/article/birmingham-alabama-fatal-shooting-5293c5068e6fec5779d19dd100fc37f5
https://apnews.com/,apnnews_in_article,2,1,"This undated photo provided by Aleut Community of St. Paul Island Ecosystem Conservation Office shows a view of St. Paul Island, Alaska, including the developed area that includes homes and water towers. (Aleut Community of St. Paul Island Ecosystem Conservation Office via AP)",A possible rat sighting on an Alaska island favored by seabirds prompts a monthslong search,https://apnews.com/article/rat-alaska-island-seabirds-conservation-9f2f78e4c6e9ceb6073cfa8af126f44d
https://apnews.com/,apnnews_in_article,2,2,"This June 2024 photo provided by Aleut Community of St. Paul Island Ecosystem Conservation Office shows a rat trap that was placed under a residential building on St. Paul Island, Alaska, after a resident reported an alleged sighting. (Aleut Community of St. Paul Island Ecosystem Conservation Office via AP)",A possible rat sighting on an Alaska island favored by seabirds prompts a monthslong search,https://apnews.com/article/rat-alaska-island-seabirds-conservation-9f2f78e4c6e9ceb6073cfa8af126f44d
https://apnews.com/,apnnews_in_article,2,3,"This 2024 image provided by the U.S. Fish & Wildlife Service shows rat tracks on Kiska Island, Alaska, one of the uninhabited islands where the U.S. Fish and Wildlife Service aims to study the potential for rat eradication efforts. (Lora Haller/U.S. Fish & Wildlife Service via AP)",A possible rat sighting on an Alaska island favored by seabirds prompts a monthslong search,https://apnews.com/article/rat-alaska-island-seabirds-conservation-9f2f78e4c6e9ceb6073cfa8af126f44d
https://apnews.com/,apnnews_in_article,2,4,"This 2017 image provided by the U.S. Fish & Wildlife Service shows the island of Attu in Alaska, one of the uninhabited islands where the U.S. Fish and Wildlife Service aims to study the potential for rat eradication efforts. (Lisa Hupp/U.S. Fish & Wildlife Service via AP)",A possible rat sighting on an Alaska island favored by seabirds prompts a monthslong search,https://apnews.com/article/rat-alaska-island-seabirds-conservation-9f2f78e4c6e9ceb6073cfa8af126f44d
